App name,Usage time,Access count
Weibo,329:42:37,6141.0
WeChat,145:21:53,6366.0
Phone,101:23:49,3402.0
PUBG,85:25:57,545.0
iQiyi,82:48:59,1275.0
QQ Browser,43:02:54,501.0
Dianping,26:26:56,411.0
Zhihu,26:08:00,230.0
UC Browser,22:36:47,1256.0
Meituan,18:43:45,440.0
MX Player,17:40:02,210.0
Taobao,11:46:29,526.0
iReader,8:34:37,1024.0
Uber Eats,8:17:06,268.0
AMap,8:09:57,338.0
Duolingo,7:18:13,105.0
Gallery,5:19:33,555.0
Wallet,4:37:25,252.0
Phone,4:34:42,2441.0
வரைபடம்,4:20:14,178.0
Anzhi Store,4:17:37,382.0
Tencent QQ,4:13:53,263.0
Alipay,4:01:56,307.0
Flipkart,3:41:15,111.0
Cloud,3:27:28,215.0
Camera,3:11:23,514.0
Messages,2:39:00,613.0
Clock,2:21:53,329.0
Samsung Music,2:18:49,315.0
Settings,2:17:23,664.0
Zedge Ringtones & Wallpapers,1:36:47,36.0
Udemy,1:23:22,41.0
Samsung Notes,1:18:06,138.0
IndPay,1:16:59,76.0
Flud,1:14:22,161.0
Medium,1:06:31,38.0
PUBG MOBILE LITE,1:06:03,6.0
Contacts,1:00:36,281.0
UFO VPN Basic,0:57:33,96.0
Mail,0:56:58,119.0
LG TV Plus,0:50:39,58.0
Airtel,0:50:32,44.0
Video Player,0:50:06,27.0
App Usage,0:48:28,96.0
Meme Generator Free,0:44:18,31.0
Baidu,0:43:04,67.0
Digital wellbeing,0:39:35,104.0
Phone,0:35:12,213.0
Crossword,0:34:02,10.0
JioTV,0:33:37,21.0
Calculator,0:33:31,57.0
Snapseed,0:32:25,25.0
Meme Templates,0:32:17,27.0
Audible,0:31:41,63.0
Galaxy Store,0:30:09,47.0
WPS Office,0:30:02,51.0
Calendar,0:29:33,73.0
Package installer,0:28:55,710.0
Canva,0:28:53,20.0
Samsung Max,0:26:59,68.0
My Files,0:26:44,74.0
Om Tamil Calendar,0:25:06,24.0
Mi Fit,0:25:05,48.0
Device maintenance,0:25:03,129.0
IOBMobile,0:24:34,40.0
JioSaavn,0:24:34,27.0
BlaBlaCar,0:22:53,11.0
System UI,0:19:26,534.0
Evernote,0:19:08,25.0
BookMyShow,0:17:42,20.0
SHAREit,0:17:03,4.0
Software update,0:15:01,28.0
SoloLearn,0:14:05,6.0
English Templates,0:10:27,5.0
Service mode,0:10:14,2.0
Baidu services,0:09:54,173.0
WordPress,0:09:28,14.0
Galaxy Themes,0:09:21,17.0
Khan Academy,0:09:15,10.0
Files,0:08:22,41.0
Xender,0:08:14,8.0
Airtel Xstream,0:08:04,6.0
Pixaloop,0:07:40,3.0
Pushbullet,0:07:03,14.0
Galaxy Diagnostics,0:06:51,4.0
Accessibility,0:06:33,16.0
Layout,0:06:30,11.0
Netease Mail,0:06:16,17.0
TV Cast (LG),0:05:22,14.0
Smart View,0:04:47,15.0
Sudoku,0:04:38,1.0
VpnDialogs,0:04:34,71.0
Prime Video,0:04:23,4.0
Spotify,0:04:08,6.0
Sun NXT,0:04:02,8.0
Reminder,0:03:55,21.0
Adapt sound,0:03:45,9.0
Launcher,0:03:26,17.0
Samsung Cloud,0:03:26,4.0
Weather,0:03:26,14.0
SIM card manager,0:03:12,15.0
Phone,0:03:10,9.0
TED,0:03:08,4.0
BOMBitUP,0:03:02,3.0
Game Launcher,0:02:55,2.0
Game Booster,0:02:49,5.0
Settings Suggestions,0:02:48,28.0
MTP application,0:02:48,51.0
Wallpapers,0:02:34,24.0
Finder,0:02:31,23.0
Samsung Keyboard,0:02:30,7.0
Photo Editor,0:02:20,11.0
SoundAlive,0:02:12,15.0
B612,0:02:03,6.0
MyJio,0:01:34,4.0
Deepstash,0:01:32,1.0
SimpleMind Free,0:01:29,1.0
Turbo VPN,0:01:24,5.0
Today News,0:01:24,2.0
Media Storage,0:01:23,4.0
Samsung Experience Service,0:01:20,5.0
CaptivePortalLogin,0:01:09,5.0
Samsung capture,0:01:06,34.0
ColorNote,0:00:58,5.0
Configuration update,0:00:56,4.0
Samsung Level,0:00:55,5.0
Samsung Internet,0:00:52,7.0
Camera Test,0:00:47,2.0
edX,0:00:47,3.0
Sound picker,0:00:44,2.0
Coursera,0:00:40,2.0
AppCloud,0:00:40,1.0
HwModuleTest,0:00:37,2.0
Clock style,0:00:37,3.0
Lens,0:00:35,17.0
Orbot,0:00:32,2.0
Phone,0:00:29,7.0
DeviceKeystring,0:00:25,1.0
Dual Messenger,0:00:13,1.0
Print Spooler,0:00:13,3.0
My Airtel,0:00:10,1.0
Trello,0:00:09,1.0
EmergencyManagerService,0:00:08,1.0
Wi-Fi Direct,0:00:07,3.0
My Galaxy,0:00:07,1.0
Configuration message,0:00:07,1.0
Ultra data saving mode,0:00:06,1.0
Customisation Service,0:00:06,1.0
Wi-Fi calling,0:00:06,1.0
Tencent Games,0:00:06,2.0
Storage booster,0:00:06,1.0
Mobile networks,0:00:04,1.0
Lock Screen Stories,0:00:03,1.0
SINA Business,0:00:03,1.0
QQ Music,0:00:01,2.0
Voice Recorder,0:00:01,1.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
